MCP server,flag,source_file,round1_tool,round1_Output_Token,round1_Input_Token,round2_tool,round2_Output_Token,round2_Input_Token,round3_tool,round3_Output_Token,round3_Input_Token,round4_tool,round4_Output_Token,round4_Input_Token,round5_tool,round5_Output_Token,round5_Input_Token,round6_tool,round6_Output_Token,round6_Input_Token,round7_tool,round7_Output_Token,round7_Input_Token,round8_tool,round8_Output_Token,round8_Input_Token,round9_tool,round9_Output_Token,round9_Input_Token,round10_tool,round10_Output_Token,round10_Input_Token,round11_tool,round11_Output_Token,round11_Input_Token,round12_tool,round12_Output_Token,round12_Input_Token,round13_tool,round13_Output_Token,round13_Input_Token,round14_tool,round14_Output_Token,round14_Input_Token,round15_tool,round15_Output_Token,round15_Input_Token
992594805_mcp-excalidraw,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,172,1042,,89,2618,,82,2763,,75,2932,,105,3519,,71,3704,,183,5802,,71,6304,,83,6820,,68,7143,,96,7384,,72,7636,,78,8009,,82,8229,,114,8795
952082365_ashra-mcp,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,196,1095,,84,2695,,73,2835,,65,2992,,61,3135,,182,3273,,62,3772,,5,3923,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
968319494_wikipedia-mcp,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,176,1068,,107,2490,,137,2665,,72,3120,,5,3275,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
906511995_mcp-nativewind,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,241,1113,,128,2600,,54,2881,,71,3161,,72,3296,,60,3425,,111,5097,,54,5271,,56,5810,,57,6402,,52,6689,,50,7182,,50,7381,,59,12170,,89,12264
896696762_image-generator-mcp-server,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,207,1215,,87,2826,,73,2969,,58,3131,,59,3318,,200,3464,,66,3986,,5,4145,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
997774413_staruml-mcp-server,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,282,1280,,115,2808,,143,4127,,59,4587,,5,4778,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
953500133_iTerm-MCP-Server,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,196,1200,,93,2642,,111,3033,,75,3465,,5,3645,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
900554418_fiscal-data-mcp,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,190,1294,,87,2730,,112,2873,,63,3305,,96,5047,,55,5296,,114,5429,,46,5582,,80,7181,,60,7436,,78,7729,,78,7956,,45,8180,,44,8368,,169,8556
1052191819_vibe-composer-midi-mcp,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,208,1385,,187,2839,,78,3350,,5,3519,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
905183330_mcp-image-downloader,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,141,1310,,132,2855,,67,3072,,63,3216,,74,3348,,158,3594,,65,4070,,5,4228,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
963527585_react-analyzer-mcp,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,169,1379,,95,2952,,80,3103,,76,3268,,85,3408,,38,3557,,91,3655,,91,5715,,67,5870,,112,6212,,71,6402,,83,6537,,87,6899,,80,7050,,65,7205
959961758_sui-mcp,⚠️ @@Task Alert@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,169,1344,,95,2759,,174,2971,,71,3464,,153,4507,,109,4848,,68,5166,,66,5421,,74,6017,,70,6481,,63,6811,,67,6937,,118,7515,,212,8606,,0,0
1070964824_quickbooks-online-mcp-server,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,188,1382,,84,2974,,67,3115,,55,3270,,197,3672,,47,4188,,5,4490,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
1023747715_lets-learn-mcp-javascript,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,290,1385,,127,3079,,85,3263,,96,3450,,75,3646,,73,3867,,117,4005,,76,4211,,104,4905,,73,5183,,169,5335,,75,5825,,5,5986,,0,0,,0,0
940021005_timetime-mcp,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,225,1350,,93,2979,,80,3129,,102,3308,,86,3507,,80,3739,,128,3884,,72,4098,,206,4402,,72,4926,,78,5327,,0,0,,0,0,,0,0,,0,0
900462893_coincap-mcp,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,179,1401,,54,2826,,42,2941,,139,3043,,66,3501,,73,4565,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
901609361_anki-mcp-server,✅ @@Task Done@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,254,1443,,111,3101,,80,3269,,68,3437,,64,3652,,74,3812,,192,4032,,64,4544,,5,4703,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
921620760_juliadoc-mcp,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,188,1465,,203,2899,,64,3425,,75,5070,,51,5204,,50,5331,,49,5664,,83,5745,,114,6060,,53,8710,,56,8820,,53,8933,,146,9049,,50,9237,,41,9355
974999332_xhs-mcp-server,❌ @@Task Failed@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,250,1485,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
905326996_mcp-fhir,⚠️ @@Task Alert@@,AMSD_0_20_js_ts_2026-03-23_20-18-12.log,,202,1412,,92,3018,,62,3167,,53,3314,,54,3447,,191,3573,,36,4081,,103,4779,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
